"Event no.";"Title";"Venue codes";"Venue";"City";"Promoter no.";"Promoter";"Provider";"Tour title";"Event time";"FC";"Ticket layout";"Continuous event"
"73";"THE POCKET ENSEMBLE - Glasbeni veèeri pod grajsko lipo 2019";"210";"Letno gledališèe Khislstein";"Kranj";"11479";"80:DreamArt d.o.o.";"80:Eventim Si d.o.o.";"THE POCKET ENSEMBLE";"Wed, 07/24/2019 20:30";"1";"ET_SVN-veliki logo";"No"
"48";"MUZIKAL DOMIŠLJIJE IZ HARMONIJE";"195";"Minoritski samostan";"Ptuj";"10617";"80:Društvo za glasbeno umetnost Arsana";"80:Eventim Si d.o.o.";"MUZIKAL DOMIŠLJIJE IZ HARMONIJE";"Wed, 07/24/2019 20:30";"1";"ET_SVN-veliki logo";"No"
"347";"Koncert profesorjev godal";"941";"Narodna galerija";"Ljubljana";"10005";"80:Festival Ljubljana";"80:Eventim Si d.o.o.";"Koncert profesorjev godal";"Wed, 07/24/2019 20:00";"1";"Festival Ljubljana";"No"
"149";"METALDAYS FESTIVAL 2019 - 24.7.2019";"114";"Sotoèje, Tolmin";"Tolmin";"11097";"80:ARTFEST d.o.o.";"80:Eventim Si d.o.o.";"METALDAYS FESTIVAL 2019";"Wed, 07/24/2019 12:00";"1";"Metaldays";"No"
"146";"METALDAYS FESTIVAL 2019 - TRIDNEVNA -24.7. do 26.7.2019";"114";"Sotoèje, Tolmin";"Tolmin";"11097";"80:ARTFEST d.o.o.";"80:Eventim Si d.o.o.";"METALDAYS FESTIVAL 2019";"Wed, 07/24/2019 11:55";"1";"Metaldays";"Yes"
"650";"PINK (Dunaj) vstopnica+prevoz";"171";"VOUCHER";"Vstopnica za koncert/prevoz/vodenje";"10007";"80:CONCERT FREAK, TADEJ KOŠMERL S.P.";"80:Eventim Si d.o.o.";"PINK";"Wed, 07/24/2019 09:00";"5";"ET_SVN_PREVOZI";"No"
"145";"METALDAYS FESTIVAL 2019 - TRIDNEVNA -23.7. do 25.7.2019";"114";"Sotoèje, Tolmin";"Tolmin";"11097";"80:ARTFEST d.o.o.";"80:Eventim Si d.o.o.";"METALDAYS FESTIVAL 2019";"Tue, 07/23/2019 11:55";"1";"Metaldays";"Yes"
"144";"METALDAYS FESTIVAL 2019 - TRIDNEVNA -22.7. do 24.7.2019";"114";"Sotoèje, Tolmin";"Tolmin";"11097";"80:ARTFEST d.o.o.";"80:Eventim Si d.o.o.";"METALDAYS FESTIVAL 2019";"Mon, 07/22/2019 11:55";"1";"Metaldays";"Yes"
"142";"METALDAYS FESTIVAL 2019 - FESTIVALSKA";"114";"Sotoèje, Tolmin";"Tolmin";"11097";"80:ARTFEST d.o.o.";"80:Eventim Si d.o.o.";"METALDAYS FESTIVAL 2019";"Sun, 07/21/2019 12:00";"1";"Metaldays";"Yes"
"5";"CASTLE FESTIVAL + ŠVIC FESTIVAL";"1186";"RAZLIÈNA PRIZORIŠÈA - CASTLE+ŠVIC";"";"11418";"80:INTRALITE d.o.o.";"80:Eventim Si d.o.o.";"CASTLE festival + ŠVIC festival";"Fri, 07/05/2019 17:00";"1";"SVN 2019";"Yes"
"7";"BAZEN BRESTANICA - SEZONSKA KARTA 2019";"131";"Bazen Brestanica";"Brestanica";"10141";"80:Mladinski center Krško";"80:Eventim Si d.o.o.";"BAZEN BRESTANICA - SEZONSKA KARTA 2019";"Sun, 06/09/2019 00:00";"1";"personalizacija SŽ pl";"Yes"
"585";"BON: PAKET ZA SMEH - ŠPAS TEATER";"83";"Kulturni dom Mengeš - Špas Teater";"Mengeš";"10163";"80:KD ŠPAS TEATER";"80:Eventim Si d.o.o.";"BON: PAKET ZA SMEH - ŠPAS TEATER";"Mon, 06/03/2019 23:59";"1";"ET_SVN-veliki logo";"Yes"
"4";"CASTLE FESTIVAL + GORA ROCKA";"364";"RAZLIÈNA PRIZORIŠÈA";"";"11418";"80:INTRALITE d.o.o.";"80:Eventim Si d.o.o.";"CASTLE FESTIVAL + GORA ROCKA";"Wed, 05/08/2019 17:00";"1";"SVN 2019";"Yes"
"13";"LETNA VSTOPNICA ZA ZOO LJUBLJANA 2019";"622";"ZOO Ljubljana";"Ljubljana";"11050";"80:ŽIVALSKI VRT LJUBLJANA";"80:Eventim Si d.o.o.";"LETNA VSTOPNICA ZA ZOO LJUBLJANA 2019";"Tue, 01/01/2019 00:00";"1";"ET_SVN-veliki logo";"Yes"
"247";"Darilni bon - samo za organizatorja";"79";"KRIŽANKE";"Ljubljana";"10005";"80:Festival Ljubljana";"80:Eventim Si d.o.o.";"Darilni bon - 66. LF";"Mon, 12/31/2018 00:00";"0";"LF-darilni bon";"Yes"
"246";"Darilni bon - 66. Ljubljana Festival";"79";"KRIŽANKE";"Ljubljana";"10005";"80:Festival Ljubljana";"80:Eventim Si d.o.o.";"Darilni bon - 66. LF";"Sun, 09/30/2018 00:00";"6";"LF-darilni bon";"Yes"
"431";"HK SŽ Olimpija SEZONA 2018 / 2019";"1000";"Dvorana Tivoli";"Ljubljana";"10040";"80:HK Olimpija d.o.o";"80:Eventim Si d.o.o.";"HK SŽ Olimpija SEZONA 2018 / 2019";"Thu, 08/16/2018 00:00";"1";"personalizacija SŽ pl";"Yes"
"302";"AKREDITACIJE 2020 - TEST";"1";"Dvorana Stožice";"Ljubljana";"10002";"80:Eventim Si d.o.o.";"80:Eventim Si d.o.o.";"TEST AKREDITACIJE 2036";"Mon, 01/30/2017 00:00";"0";"ET_SVN_Stožice-velik";"Yes"
"1";"Thermana Laško - vrednostni darilni bon";"50";"VREDNOSTNI DARILNI BON";"-";"10536";"80: Test promoter";"80:Eventim Si d.o.o.";"Thermana Laško - vrednostni darilni bon";"Mon, 12/14/2015 13:17";"2";"DARILNI BON -DENAR";"Yes"
