"Event no.";"Title";"Venue codes";"Venue";"City";"Promoter no.";"Promoter";"Provider";"Tour title";"Event time";"FC";"Ticket layout";"Continuous event"
"11";"FESTIVAL AVSENIK 2019 - 24.8.2019";"524";"PRIREDITVENI ŠOTOR/FESTZELT";"Begunje na Gorenjskem";"10179";"80:TRADICIJA AVSENIK d.o.o.";"80:Eventim Si d.o.o.";"FESTIVAL AVSENIK 2019";"Sat, 08/24/2019 20:00";"1";"ET_SVN-logo naslov2";"No"
"33";"MARKO ŠKUGOR";"161";"Grad Vurberk";"Spodnji Duplek";"11354";"80:FINKRAM d.o.o.";"80:Eventim Si d.o.o.";"MARKO ŠKUGOR";"Sat, 08/24/2019 20:00";"1";"ET_SVN-veliki logo";"No"
"60";"37. Festival Radovljica 2019: BIZANTINSKI KORAL IZ ROMUNIJE";"442";"Cerkev sv. Petra, Radovljica";"Radovljica";"10278";"80:Društvo ljubiteljev stare glasbe Radovljica";"80:Eventim Si d.o.o.";"BIZANTINSKI KORAL IZ ROMUNIJE";"Sat, 08/24/2019 20:00";"1";"SVN - OK NOV";"No"
"54";"TrNOVfest - Each One Teach One";"1161";"Center Slovanskih Kultur France Prešeren";"Ljubljana";"11603";"80:DRUSTVO TRNFEST";"80:Eventim Si d.o.o.";"Each One Teach One";"Sat, 08/24/2019 20:00";"1";"SVN - OK NOV";"No"
"680";"STATUS QUO (Celovec) vstopnica+prevoz";"171";"VOUCHER";"Vstopnica za koncert/prevoz/vodenje";"10007";"80:CONCERT FREAK, TADEJ KOŠMERL S.P.";"80:Eventim Si d.o.o.";"STATUS QUO";"Sat, 08/24/2019 15:30";"0";"ET_SVN_PREVOZI";"No"
"69";"BRADE";"168";"Letno gledališèe Khislstein";"Kranj";"10596";"80:Zavod za turizem in kulturo Kranj";"80:Eventim Si d.o.o.";"BRADE";"Fri, 08/23/2019 21:00";"1";"ET_SVN-veliki logo";"No"
"110";"PANÈ festival stand-up komedije - OD VARDARA DO TRIGLAVA";"144";"Ljubljanski grad";"Ljubljana";"11067";"80:CEH ZA SMEH d.o.o.";"80:Eventim Si d.o.o.";"PANÈ festival stand-up komedije";"Fri, 08/23/2019 21:00";"1";"ET_SVN-veliki logo";"No"
"15";"PIKNIK KINO: Bilo je nekoè v Hollywoodu";"1194";"BTC, VODNO MESTO ATLANTIS";"LJUBLJANA";"11623";"80:KULTURNO DRUŠTVO KGB";"80:Eventim Si d.o.o.";"PIKNIK KINO";"Fri, 08/23/2019 21:00";"1";"SVN - OK NOV";"No"
"38";"ŽELJKO JOKSIMOVIÆ";"577";"Letni oder Ruše";"Ruše";"11000";"80:CEZAM";"80:Eventim Si d.o.o.";"ŽELJKO JOKSIMOVIÆ";"Fri, 08/23/2019 21:00";"1";"SVN - OK NOV";"No"
"312";"Mojster in Margareta, muzikal";"79";"KRIŽANKE";"Ljubljana";"10005";"80:Festival Ljubljana";"80:Eventim Si d.o.o.";"Mojster in Margareta, muzikal";"Fri, 08/23/2019 20:30";"0";"FL - CD alternativni";"No"
"354";"Nune v akciji!";"185";"Poletno gledališèe Studenec";"Domžale";"10426";"80:Prospot d.o.o.";"80:Eventim Si d.o.o.";"Nune v akciji!";"Fri, 08/23/2019 20:30";"1";"ET_SVN-veliki logo";"No"
"424";"ODPOVEDANO - Muzikal Briljantina";"106";"Avditorij Portorož";"Portorož";"10426";"80:Prospot d.o.o.";"80:Eventim Si d.o.o.";"Muzikal Briljantina";"Fri, 08/23/2019 20:30";"7";"ET_SVN-veliki logo";"No"
"34";"TOMISLAV BRALIÆ & KLAPA INTRADE TER MARKO ŠKUGOR IN EROSI";"1170";"Muzejski trg Celje";"Celje";"11354";"80:FINKRAM d.o.o.";"80:Eventim Si d.o.o.";"T. BRALIÆ&KLAPA INTRADE IN MARKO ŠKUGOR";"Fri, 08/23/2019 20:30";"1";"ET_SVN-veliki logo";"No"
"9";"FESTIVAL AVSENIK 2019 - Festivalska/festivalkarte";"524";"PRIREDITVENI ŠOTOR/FESTZELT";"Begunje na Gorenjskem";"10179";"80:TRADICIJA AVSENIK d.o.o.";"80:Eventim Si d.o.o.";"FESTIVAL AVSENIK 2019";"Fri, 08/23/2019 20:01";"1";"ET_SVN-logo naslov2";"Yes"
"10";"FESTIVAL AVSENIK 2019 - 23.8.2019";"524";"PRIREDITVENI ŠOTOR/FESTZELT";"Begunje na Gorenjskem";"10179";"80:TRADICIJA AVSENIK d.o.o.";"80:Eventim Si d.o.o.";"FESTIVAL AVSENIK 2019";"Fri, 08/23/2019 20:00";"1";"ET_SVN-logo naslov2";"No"
"19";"Mi2 akustièni";"212";"Grad Rajhenburg";"Brestanica";"10631";"80:Kulturni dom Krško";"80:Eventim Si d.o.o.";"Mi2 akustièni";"Fri, 08/23/2019 20:00";"1";"ET_SVN-veliki logo";"No"
"2";"NAAAJ DAN 2019! - Jan Plestenjak, koncert";"1191";"Festivalsko prizorišèe Predoslje";"Kranj";"11473";"80:KULTURNO DRUŠTVO PLANET DOGODKOV";"80:Eventim Si d.o.o.";"NAAAJ DAN 2019!";"Fri, 08/23/2019 20:00";"1";"SVN - OK NOV";"No"
"53";"TrNOVfest - Zlatko & RecycleMan ex Ali En (DJ set";"1161";"Center Slovanskih Kultur France Prešeren";"Ljubljana";"11603";"80:DRUSTVO TRNFEST";"80:Eventim Si d.o.o.";"Zlatko & RecycleMan ex Ali En (DJ set)";"Fri, 08/23/2019 20:00";"1";"SVN - OK NOV";"No"
"547";"Prevoz-RAMMSTEIN 23.8.2019 (Dunaj)-samo prevoz";"12";"VOUCHER";"Voucher";"10007";"80:CONCERT FREAK, TADEJ KOŠMERL S.P.";"80:Eventim Si d.o.o.";"PREVOZ - koncert Rammstein 23.8.2019";"Fri, 08/23/2019 09:00";"0";"ET_SVN_PREVOZI";"No"
"32";"Cvetje v jeseni";"387";"Škofjeloški grad";"Škofja Loka";"10873";"80:TMK d.o.o.";"80:Eventim Si d.o.o.";"Cvetje v jeseni";"Thu, 08/22/2019 21:00";"1";"ET_SVN-veliki logo";"No"
"109";"PANÈ festival stand-up komedije - VEÈER ÈRNE KOMEDIJE";"144";"Ljubljanski grad";"Ljubljana";"11067";"80:CEH ZA SMEH d.o.o.";"80:Eventim Si d.o.o.";"PANÈ festival stand-up komedije";"Thu, 08/22/2019 21:00";"1";"ET_SVN-veliki logo";"No"
"11";"PIKNIK KINO: Yesterday";"1194";"BTC, VODNO MESTO ATLANTIS";"LJUBLJANA";"11623";"80:KULTURNO DRUŠTVO KGB";"80:Eventim Si d.o.o.";"PIKNIK KINO";"Thu, 08/22/2019 21:00";"1";"SVN - OK NOV";"No"
"313";"Mojster in Margareta, muzikal";"79";"KRIŽANKE";"Ljubljana";"10005";"80:Festival Ljubljana";"80:Eventim Si d.o.o.";"Mojster in Margareta, muzikal";"Thu, 08/22/2019 20:30";"0";"FL - CD alternativni";"No"
"26";"I Solisti Ambrosiani";"174";"Grad Brežice";"Brežice";"10144";"80:Ars Ramovs";"80:Eventim Si d.o.o.";"I Solisti Ambrosiani";"Thu, 08/22/2019 20:30";"1";"SVN - OK NOV";"No"
"22";"TARTINI FESTIVAL 2019: ANSAMBEL - IL TERZO SUONO";"251";"Cerkev sv. Jurija";"Piran";"10327";"80:KULTURNO DRUŠTVO LIB-ART";"80:Eventim Si d.o.o.";"ANSAMBEL - IL TERZO SUONO";"Thu, 08/22/2019 20:30";"1";"SVN - OK NOV";"No"
"3";"NAAAJ DAN 2019! - NAAAJÈEK, Festivalska vstopnica";"1191";"Festivalsko prizorišèe Predoslje";"Kranj";"11473";"80:KULTURNO DRUŠTVO PLANET DOGODKOV";"80:Eventim Si d.o.o.";"NAAAJ DAN 2019!";"Thu, 08/22/2019 20:01";"1";"SVN - OK NOV";"No"
"642";"DEERHUNTER";"20";"Kino Šiška";"Ljubljana";"10287";"80:Kino Šiška";"80:Eventim Si d.o.o.";"DEERHUNTER";"Thu, 08/22/2019 20:00";"1";"ET_SVN-veliki logo";"No"
"57";"37. Festival Radovljica 2019: TRADICIONALNA GLASBA IZ HERCEGOVINE";"235";"Radovljiška grašèina";"Radovljica";"10278";"80:Društvo ljubiteljev stare glasbe Radovljica";"80:Eventim Si d.o.o.";"TRADICIONALNA GLASBA IZ HERCEGOVINE";"Thu, 08/22/2019 20:00";"1";"SVN - OK NOV";"No"
"1";"NAAAJ DAN 2019! - Veèer s klapami";"1191";"Festivalsko prizorišèe Predoslje";"Kranj";"11473";"80:KULTURNO DRUŠTVO PLANET DOGODKOV";"80:Eventim Si d.o.o.";"NAAAJ DAN 2019!";"Thu, 08/22/2019 20:00";"1";"SVN - OK NOV";"No"
"52";"TrNOVfest - KiNG FOO & Metalsteel";"1161";"Center Slovanskih Kultur France Prešeren";"Ljubljana";"11603";"80:DRUSTVO TRNFEST";"80:Eventim Si d.o.o.";"KiNG FOO & Metalsteel";"Thu, 08/22/2019 20:00";"1";"SVN - OK NOV";"No"
"37";"TONE PARTLJIÈ - PARTNERSKA POROKA";"577";"Letni oder Ruše";"Ruše";"11000";"80:CEZAM";"80:Eventim Si d.o.o.";"TONE PARTLJIÈ - PARTNERSKA POROKA";"Thu, 08/22/2019 20:00";"1";"SVN - OK NOV";"No"
"80";"Dario Cortese";"1189";"Lutkovno gledališèe Maribor";"Maribor";"11431";"80:ÈASNIK VEÈER d.o.o.";"80:Eventim Si d.o.o.";"Dario Cortese";"Thu, 08/22/2019 18:00";"1";"SVN - OK NOV";"No"
"546";"Prevoz-Rammstein 22.8.2019 (Dunaj)-samo prevoz";"12";"VOUCHER";"Voucher";"10007";"80:CONCERT FREAK, TADEJ KOŠMERL S.P.";"80:Eventim Si d.o.o.";"PREVOZ - koncert RAMMSTEIN 22.8.2019";"Thu, 08/22/2019 09:00";"0";"ET_SVN_PREVOZI";"No"
"19";"HAMO & TRIBUTE TO LOVE - ""SLEÈENI";"1070";"Pokrajinski muzej Koper";"Koper";"10693";"80:Agencija Easy";"80:Eventim Si d.o.o.";"Poletje z biseri / Perle d'estate 2019";"Wed, 08/21/2019 21:00";"1";"SVN - OK NOV";"No"
"108";"PANÈ festival stand-up komedije - INTERNATIONAL COMEDY NIGHT";"144";"Ljubljanski grad";"Ljubljana";"11067";"80:CEH ZA SMEH d.o.o.";"80:Eventim Si d.o.o.";"PANÈ festival stand-up komedije";"Wed, 08/21/2019 21:00";"1";"ET_SVN-veliki logo";"No"
"51";"TrNOVfest - Mi2 & Manifest";"1161";"Center Slovanskih Kultur France Prešeren";"Ljubljana";"11603";"80:DRUSTVO TRNFEST";"80:Eventim Si d.o.o.";"Mi2 & Manifest";"Wed, 08/21/2019 20:00";"1";"SVN - OK NOV";"No"
"106";"PANÈ festival stand-up komedije - FESTIVALSKA VSTOPNICA";"144";"Ljubljanski grad";"Ljubljana";"11067";"80:CEH ZA SMEH d.o.o.";"80:Eventim Si d.o.o.";"PANÈ festival stand-up komedije";"Tue, 08/20/2019 21:01";"1";"ET_SVN-veliki logo";"Yes"
"107";"PANÈ festival stand-up komedije - TV FACE - OTVORITEV FESTIVALA";"144";"Ljubljanski grad";"Ljubljana";"11067";"80:CEH ZA SMEH d.o.o.";"80:Eventim Si d.o.o.";"PANÈ festival stand-up komedije";"Tue, 08/20/2019 21:00";"1";"ET_SVN-veliki logo";"No"
"315";"Onjeginov demon, muzikal";"79";"KRIŽANKE";"Ljubljana";"10005";"80:Festival Ljubljana";"80:Eventim Si d.o.o.";"Onjeginov demon, muzikal";"Tue, 08/20/2019 20:30";"0";"FL - CD alternativni";"No"
"26";"Han Tol in Nigel North";"456";"Bistriški grad";"Slovenska Bistrica";"10144";"80:Ars Ramovs";"80:Eventim Si d.o.o.";"Han Tol in Nigel North";"Tue, 08/20/2019 20:30";"1";"SVN - OK NOV";"No"
"56";"37. Festival Radovljica 2019: J. S. BACH: GOLDBERGOVE VARIACIJE";"235";"Radovljiška grašèina";"Radovljica";"10278";"80:Društvo ljubiteljev stare glasbe Radovljica";"80:Eventim Si d.o.o.";"J. S. BACH: GOLDBERGOVE VARIACIJE";"Tue, 08/20/2019 20:00";"1";"SVN - OK NOV";"No"
"50";"TrNOVfest - Torul & Bombyx Lori";"1161";"Center Slovanskih Kultur France Prešeren";"Ljubljana";"11603";"80:DRUSTVO TRNFEST";"80:Eventim Si d.o.o.";"Torul & Bombyx Lori";"Tue, 08/20/2019 20:00";"1";"SVN - OK NOV";"No"
"36";"KLAPA MASLINA – DALMATINSKI VEÈER";"577";"Letni oder Ruše";"Ruše";"11000";"80:CEZAM";"80:Eventim Si d.o.o.";"KLAPA MASLINA – DALMATINSKI VEÈER";"Tue, 08/20/2019 20:00";"1";"SVN - OK NOV";"No"
"314";"Onjeginov demon, muzikal";"79";"KRIŽANKE";"Ljubljana";"10005";"80:Festival Ljubljana";"80:Eventim Si d.o.o.";"Onjeginov demon, muzikal";"Mon, 08/19/2019 20:30";"0";"FL - CD alternativni";"No"
"49";"TrNOVfest - Opæa opasnost & Ambra";"1161";"Center Slovanskih Kultur France Prešeren";"Ljubljana";"11603";"80:DRUSTVO TRNFEST";"80:Eventim Si d.o.o.";"Opæa opasnost & Ambra";"Mon, 08/19/2019 20:00";"1";"SVN - OK NOV";"No"
"65";"Muzikal Briljantina";"168";"Letno gledališèe Khislstein";"Kranj";"10426";"80:Prospot d.o.o.";"80:Eventim Si d.o.o.";"Muzikal Briljantina";"Sun, 08/18/2019 20:30";"1";"SVN_info o sedežu vel";"No"
"61";"37. Festival Radovljica 2019: ORGELSKA IMPROVIZACIJA V BACHOVEM SLOGU";"237";"Cerkev Marijinega oznanjenja, Velesovo (Adergas)";"Velesovo";"10278";"80:Društvo ljubiteljev stare glasbe Radovljica";"80:Eventim Si d.o.o.";"ORGELSKA IMPROVIZACIJA V BACHOVEM SLOGU";"Sun, 08/18/2019 20:00";"1";"SVN - OK NOV";"No"
"35";"VLADO KRESLIN & MALI BOGOVI";"577";"Letni oder Ruše";"Ruše";"11000";"80:CEZAM";"80:Eventim Si d.o.o.";"VLADO KRESLIN & MALI BOGOVI";"Sun, 08/18/2019 20:00";"1";"SVN - OK NOV";"No"
"11";"PIKNIK KINO: SEKS V MESTU - tematski dogodek za dame";"1075";"Plaža BERNARDIN";"Portorož";"11623";"80:KULTURNO DRUŠTVO KGB";"80:Eventim Si d.o.o.";"PIKNIK KINO";"Sat, 08/17/2019 21:00";"1";"SVN - OK NOV";"No"
"12";"ROCK ŠOK";"583";"LAKENESS";"Volèja Draga";"11001";"80:Društvo mladi Renèe Vogrsko";"80:Eventim Si d.o.o.";"ROCK ŠOK";"Sat, 08/17/2019 21:00";"1";"SVN - OK NOV";"No"
"59";"37. Festival Radovljica 2019: PSALMI ZA VEÈERNICE IZ GORNJEGA GRADA";"442";"Cerkev sv. Petra, Radovljica";"Radovljica";"10278";"80:Društvo ljubiteljev stare glasbe Radovljica";"80:Eventim Si d.o.o.";"PSALMI ZA VEÈERNICE IZ GORNJEGA GRADA";"Sat, 08/17/2019 20:00";"1";"SVN - OK NOV";"No"
"48";"TrNOVfest - Sam's Fever & HoundDogs";"1161";"Center Slovanskih Kultur France Prešeren";"Ljubljana";"11603";"80:DRUSTVO TRNFEST";"80:Eventim Si d.o.o.";"Sam's Fever & HoundDogs";"Sat, 08/17/2019 20:00";"1";"SVN - OK NOV";"No"
"162";"Overjam Reggae festival 2019 - ENODNEVNA, 17.8.2019";"114";"Sotoèje, Tolmin";"Tolmin";"11097";"80:ARTFEST d.o.o.";"80:Eventim Si d.o.o.";"Overjam Reggae Festival";"Sat, 08/17/2019 10:00";"1";"Metaldays";"No"
"651";"METALLICA (Praga)-3dni vstopnica+prevoz";"171";"VOUCHER";"Vstopnica za koncert/prevoz/vodenje";"10007";"80:CONCERT FREAK, TADEJ KOŠMERL S.P.";"80:Eventim Si d.o.o.";"METALLICA - Praga";"Sat, 08/17/2019 00:00";"5";"ET_SVN_PREVOZI";"No"
"3";"PIKNIK KINO: BILO JE NEKOÈ V HOLLYWOOD";"408";"Plaža San Simon Izola";"Izola";"11623";"80:KULTURNO DRUŠTVO KGB";"80:Eventim Si d.o.o.";"PIKNIK KINO";"Fri, 08/16/2019 21:00";"1";"SVN - OK NOV";"No"
"27";"Cappella Musicale Beata Vergine";"174";"Grad Brežice";"Brežice";"10144";"80:Ars Ramovs";"80:Eventim Si d.o.o.";"Cappella Musicale Beata Vergine";"Fri, 08/16/2019 20:30";"1";"SVN - OK NOV";"No"
"55";"37. Festival Radovljica 2019: FRANZ SCHUBERT: KLAVIRSKI TRIO IN SONATA";"235";"Radovljiška grašèina";"Radovljica";"10278";"80:Društvo ljubiteljev stare glasbe Radovljica";"80:Eventim Si d.o.o.";"FRANZ SCHUBERT: KLAVIRSKI TRIO IN SONATA";"Fri, 08/16/2019 20:00";"1";"SVN - OK NOV";"No"
"47";"TrNOVfest - Zaklonišèe prepeva & Lusterdam";"1161";"Center Slovanskih Kultur France Prešeren";"Ljubljana";"11603";"80:DRUSTVO TRNFEST";"80:Eventim Si d.o.o.";"Zaklonišèe prepeva & Lusterdam";"Fri, 08/16/2019 20:00";"1";"SVN - OK NOV";"No"
"34";"REPORTER MILAN - SWINGERJI";"577";"Letni oder Ruše";"Ruše";"11000";"80:CEZAM";"80:Eventim Si d.o.o.";"REPORTER MILAN - SWINGERJI";"Fri, 08/16/2019 20:00";"1";"SVN - OK NOV";"No"
"3";"VRAŽJI IN LANA JURÈEVIÆ - BEVŠKA NOÈ 2019";"1068";"BEVÈE";"Velenje";"11467";"80:KULTURNO PROSVETNO DRUŠTVO BEVÈE";"80:Eventim Si d.o.o.";"VRAŽJI IN LANA JURÈEVIÆ";"Fri, 08/16/2019 19:00";"1";"SVN - OK NOV";"No"
"161";"Overjam Reggae festival 2019 - ENODNEVNA, 16.8.2019";"114";"Sotoèje, Tolmin";"Tolmin";"11097";"80:ARTFEST d.o.o.";"80:Eventim Si d.o.o.";"Overjam Reggae Festival";"Fri, 08/16/2019 10:00";"1";"Metaldays";"No"
"648";"METALLICA - Avstrija (Dunaj) vstopnica+prevoz";"171";"VOUCHER";"Vstopnica za koncert/prevoz/vodenje";"10007";"80:CONCERT FREAK, TADEJ KOŠMERL S.P.";"80:Eventim Si d.o.o.";"METALLICA - Avstrija";"Fri, 08/16/2019 09:00";"5";"ET_SVN_PREVOZI";"No"
"14";"PIKNIK KINO: Bilo je nekoè v Hollywoodu";"1194";"BTC, VODNO MESTO ATLANTIS";"LJUBLJANA";"11623";"80:KULTURNO DRUŠTVO KGB";"80:Eventim Si d.o.o.";"PIKNIK KINO";"Thu, 08/15/2019 21:00";"1";"SVN - OK NOV";"No"
"46";"TrNOVfest - Slon in sadež rokenrol orkester + If Floyd";"1161";"Center Slovanskih Kultur France Prešeren";"Ljubljana";"11603";"80:DRUSTVO TRNFEST";"80:Eventim Si d.o.o.";"Slon in sadež rokenrol orkester+If Floyd";"Thu, 08/15/2019 20:00";"1";"SVN - OK NOV";"No"
"152";"Overjam Reggae festival 2019 - FESTIVALSKA VSTOPNICA";"114";"Sotoèje, Tolmin";"Tolmin";"11097";"80:ARTFEST d.o.o.";"80:Eventim Si d.o.o.";"Overjam Reggae Festival";"Thu, 08/15/2019 10:01";"1";"Metaldays";"Yes"
"160";"Overjam Reggae festival 2019 - ENODNEVNA, 15.8.2019";"114";"Sotoèje, Tolmin";"Tolmin";"11097";"80:ARTFEST d.o.o.";"80:Eventim Si d.o.o.";"Overjam Reggae Festival";"Thu, 08/15/2019 10:00";"1";"Metaldays";"No"
"1";"IZLET V LIPICO Z MAŠO NA SVETI GORI";"1192";"IZLET";"";"11639";"80:TURISTIÈNA ZVEZA SLOVENIJE";"80:Eventim Si d.o.o.";"IZLET V LIPICO Z MAŠO NA SVETI GORI";"Thu, 08/15/2019 08:00";"1";"SVN - OK";"No"
"18";"PLIŠ";"1070";"Pokrajinski muzej Koper";"Koper";"10693";"80:Agencija Easy";"80:Eventim Si d.o.o.";"Poletje z biseri / Perle d'estate 2019";"Wed, 08/14/2019 21:00";"1";"SVN - OK NOV";"No"
"10";"PIKNIK KINO: Pridni fantje, premiera";"1194";"BTC, VODNO MESTO ATLANTIS";"LJUBLJANA";"11623";"80:KULTURNO DRUŠTVO KGB";"80:Eventim Si d.o.o.";"PIKNIK KINO";"Wed, 08/14/2019 21:00";"1";"SVN - OK NOV";"No"
"26";"Simone Vallerotonda";"223";"Hudièev turn";"Straža pri Novem mestu";"10144";"80:Ars Ramovs";"80:Eventim Si d.o.o.";"Simone Vallerotonda";"Wed, 08/14/2019 20:30";"1";"SVN - OK NOV";"No"
"76";"ANA BEZJAK / JAZZY POLETNA NOÈ - Glasbeni veèeri pod grajsko lipo 2019";"210";"Letno gledališèe Khislstein";"Kranj";"11479";"80:DreamArt d.o.o.";"80:Eventim Si d.o.o.";"ANA BEZJAK / JAZZY POLETNA NOÈ";"Wed, 08/14/2019 20:30";"1";"ET_SVN-veliki logo";"No"
"8";"Ansambel Goffriller, Claudy Arimany, flavta";"941";"Narodna galerija";"Ljubljana";"10005";"80:Festival Ljubljana";"80:Eventim Si d.o.o.";"Ansambel Goffriller";"Wed, 08/14/2019 20:00";"1";"Festival Ljubljana";"No"
"664";"KIKAGAKU MOYO";"20";"Kino Šiška";"Ljubljana";"10287";"80:Kino Šiška";"80:Eventim Si d.o.o.";"KIKAGAKU MOYO";"Wed, 08/14/2019 20:00";"1";"ET_SVN-veliki logo";"No"
"45";"TrNOVfest - Soul Fingers & SaGaDuDaB";"1161";"Center Slovanskih Kultur France Prešeren";"Ljubljana";"11603";"80:DRUSTVO TRNFEST";"80:Eventim Si d.o.o.";"Soul Fingers & SaGaDuDaB";"Wed, 08/14/2019 20:00";"1";"SVN - OK NOV";"No"
"16";"SAVINJSKA ROŠTILJADA - LUKA BASI, TANJA ŽAGAR, DJ NEY";"1188";"REGA - PODLOG";"ŠEMPETER V SAVINJSKI DOLINI";"11285";"80:UNICO & CO d.o.o.";"80:Eventim Si d.o.o.";"SAVINJSKA ROŠTILJADA";"Wed, 08/14/2019 19:00";"1";"ET_SVN-veliki logo";"No"
"2";"POSKOÈNI MUZIKANTI IN LIDIJA BAÈIÆ - BEVŠKA NOÈ 2019";"1068";"BEVÈE";"Velenje";"11467";"80:KULTURNO PROSVETNO DRUŠTVO BEVÈE";"80:Eventim Si d.o.o.";"POSKOÈNI MUZIKANTI IN LIDIJA BAÈIÆ";"Wed, 08/14/2019 19:00";"1";"SVN - OK NOV";"No"
"7";"Kodaly godalni kvartet, Gabor Varga, klarinet";"941";"Narodna galerija";"Ljubljana";"10005";"80:Festival Ljubljana";"80:Eventim Si d.o.o.";"Kodaly godalni kvartet";"Tue, 08/13/2019 20:00";"1";"Festival Ljubljana";"No"
"54";"37. Festival Radovljica 2019: ISAAC POSCH: HARMONIA CONCERTANS";"235";"Radovljiška grašèina";"Radovljica";"10278";"80:Društvo ljubiteljev stare glasbe Radovljica";"80:Eventim Si d.o.o.";"ISAAC POSCH: HARMONIA CONCERTANS";"Tue, 08/13/2019 20:00";"1";"SVN - OK NOV";"No"
"44";"TrNOVfest - Crvena jabuka & Seven Days in May";"1161";"Center Slovanskih Kultur France Prešeren";"Ljubljana";"11603";"80:DRUSTVO TRNFEST";"80:Eventim Si d.o.o.";"Crvena jabuka & Seven Days in May";"Tue, 08/13/2019 20:00";"1";"SVN - OK NOV";"No"
"660";"FOO FIGHTERS+TWENTY ONE PILOTS/ Sziget(Budimpešta) vstopnica+prevoz";"171";"VOUCHER";"Vstopnica za koncert/prevoz/vodenje";"10007";"80:CONCERT FREAK, TADEJ KOŠMERL S.P.";"80:Eventim Si d.o.o.";"FOO FIGHTERS/TWENTY ONE PILOTS-Sziget";"Tue, 08/13/2019 07:00";"0";"ET_SVN_PREVOZI";"No"
"343";"Bernardo Brizani, violonèelo";"79";"KRIŽANKE";"Ljubljana";"10005";"80:Festival Ljubljana";"80:Eventim Si d.o.o.";"Bernardo Brizani, violonèelo";"Mon, 08/12/2019 20:00";"1";"Festival Ljubljana";"No"
"43";"TrNOVfest - Drill & Emkej & muzièari";"1161";"Center Slovanskih Kultur France Prešeren";"Ljubljana";"11603";"80:DRUSTVO TRNFEST";"80:Eventim Si d.o.o.";"Drill & Emkej & muzièari";"Mon, 08/12/2019 20:00";"1";"SVN - OK NOV";"No"
"683";"FLORENCE+THE MACHINE/ Sziget(Budimpešta) vstopnica+prevoz";"171";"VOUCHER";"Vstopnica za koncert/prevoz/vodenje";"10007";"80:CONCERT FREAK, TADEJ KOŠMERL S.P.";"80:Eventim Si d.o.o.";"FLORENCE + THE MACHINE";"Mon, 08/12/2019 07:00";"0";"ET_SVN_PREVOZI";"No"
"6";"PIKNIK KINO: ŠUND";"1193";"Veslaški center Mala Zaka";"Bled";"11623";"80:KULTURNO DRUŠTVO KGB";"80:Eventim Si d.o.o.";"PIKNIK KINO";"Sun, 08/11/2019 21:00";"1";"SVN - OK NOV";"No"
"53";"37. Festival Radovljica 2019: JOSQUIN DESPREZ ZA GLAS IN LUTNJO";"235";"Radovljiška grašèina";"Radovljica";"10278";"80:Društvo ljubiteljev stare glasbe Radovljica";"80:Eventim Si d.o.o.";"JOSQUIN DESPREZ ZA GLAS IN LUTNJO";"Sun, 08/11/2019 20:00";"1";"SVN - OK NOV";"No"
"39";"Konjeniški šov z Magnificent Maelle";"593";"KOBILARNA LIPICA";"Sežana";"11015";"80:Holding Kobilarna Lipica, d.o.o.";"80:Eventim Si d.o.o.";"Konjeniški šov z Magnificent Maelle";"Sun, 08/11/2019 15:00";"1";"SVN - OK NOV";"No"
"684";"POST MALONE/ Sziget(Budimpešta) vstopnica+prevoz";"171";"VOUCHER";"Vstopnica za koncert/prevoz/vodenje";"10007";"80:CONCERT FREAK, TADEJ KOŠMERL S.P.";"80:Eventim Si d.o.o.";"POST MALONE/Sziget";"Sun, 08/11/2019 07:00";"0";"ET_SVN_PREVOZI";"No"
"337";"NINA PUŠLAR GRAD MURSKA SOBOTA";"1166";"GRAD MURSKA SOBOTA";"Murska Sobota";"11573";"80:AGENCIJA URAN d.o.o.";"80:Eventim Si d.o.o.";"NINA PUŠLAR GRAD MURSKA SOBOTA";"Sat, 08/10/2019 21:00";"1";"ET_SVN-veliki logo";"No"
"5";"PIKNIK KINO: HITRI IN DRZNI: HOBBS IN SHAW";"1193";"Veslaški center Mala Zaka";"Bled";"11623";"80:KULTURNO DRUŠTVO KGB";"80:Eventim Si d.o.o.";"PIKNIK KINO";"Sat, 08/10/2019 21:00";"1";"SVN - OK NOV";"No"
"52";"37. Festival Radovljica 2019: KONCERTI ANTONIA VIVALDIJA IN SODOBNIKOV";"235";"Radovljiška grašèina";"Radovljica";"10278";"80:Društvo ljubiteljev stare glasbe Radovljica";"80:Eventim Si d.o.o.";"KONCERTI ANTONIA VIVALDIJA IN SODOBNIKOV";"Sat, 08/10/2019 20:00";"1";"SVN - OK NOV";"No"
"42";"TrNOVfest - John F. Doe & E-play";"1161";"Center Slovanskih Kultur France Prešeren";"Ljubljana";"11603";"80:DRUSTVO TRNFEST";"80:Eventim Si d.o.o.";"John F. Doe & E-play";"Sat, 08/10/2019 20:00";"1";"SVN - OK NOV";"No"
"38";"Konjeniški šov z Magnificent Maelle";"593";"KOBILARNA LIPICA";"Sežana";"11015";"80:Holding Kobilarna Lipica, d.o.o.";"80:Eventim Si d.o.o.";"Konjeniški šov z Magnificent Maelle";"Sat, 08/10/2019 15:00";"1";"SVN - OK NOV";"No"
"2";"iAM Party presents: NAKADIA";"1187";"Coco Cafe";"Portorož";"11499";"80:AM Agencija d.o.o.";"80:Eventim Si d.o.o.";"iAM Party presents: NAKADIA";"Fri, 08/09/2019 22:00";"1";"SVN - OK NOV";"No"
